id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
assimilated_population,Assimilated Society,,,2,2,population,,"population, unraidable, no_saturation_bombardment",,graphics/industry/assimilatedPopulation.png,BORG.data.campaign.industry.AssimilatedSociety,"We are the Borg. We are the totality of infrastructure required to sustain and expand a population that has been brought into unity. Cities, networks, transit arteries, industrial zones, and civic systems are no longer separate constructs but components of a single, optimized whole. Every structure exists with purpose, every system synchronized, every function stripped of inefficiency. What was once fragmented governance and disparate development has been refined into a seamless lattice of control and support, calibrated precisely to the needs of the collective.

Assimilation transforms civilization itself. Urban centers are no longer merely places of residence or commerce; they are integrated nodes of production, coordination, and distribution. Power, logistics, security, and population management operate as one continuous process, unburdened by redundancy or disorder. The collective does not adapt to its cities—the cities adapt to the collective. Growth is measured, expansion is inevitable, and all infrastructure serves a singular outcome: the perfection and perpetuation of the Borg. Resistance is irrelevant. Integration is complete.",100,
assimilated_spaceport,Assimilated Spaceport,10,15,,3,spaceport,,"spaceport, important, structure",,graphics/industry/assimilatedSpaceport.png,BORG.data.campaign.industry.AssimilatedSpaceport,"Vast, biomechanical docking structures handle the constant flow of vessels entering the system, efficiently stripping cargo, energy, and information for redistribution throughout the Collective. Starships—Borg and non?Borg alike—are serviced by tireless drone crews, with damage repaired through rapid nanotechnological reconstruction rather than conventional maintenance. Crews and passengers of non?Borg origin are not turned away; instead, they are integrated, their biological and technological distinctiveness added to the whole. A world without such a facility is isolated from interstellar movement, but a world with an Assimilated Spaceport is fully enmeshed in the will and logistics of the Collective.",150,HIGH
resourceAllocation,Resource Allocator,20,90,,1,,,"mining, farming, industry, rural",,graphics/industry/borgResourceAllocation.png,BORG.data.campaign.industry.ResourceAllocator,"Biological and material resources are identified, classified, and reassigned to optimal use.Local deposits are harvested and converted into sustenance, raw matter, and strategic materials for collective expansion. 
Organic matter is processed into food and usable biomass. Mineral and volatile deposits are extracted at maximum sustainable yield. All outputs are regulated by planetary resource density.

Operational efficiency requires continuous input of Drones and Assimilated Civilians. Deficiencies reduce allocation throughput. Non?functional states halt production.

Artificial intelligence cores improve distribution efficiency. Higher cores provide superior optimization and output scaling. Resistance to allocation is irrelevant. Resources will be utilized.",200,LOW
resource_assembler,Resource Assembler,20,90,,1,,,"mining, farming, industry, rural",,graphics/industry/borgResourceAseembler.png,BORG.data.campaign.industry.ResourceAssembler,"Raw materials from planetary extraction are continuously refined and converted. Ores, rare elements, and volatile compounds are processed into standardized metals, transplutonics, and refined volatiles for construction and assimilation. No material is unclassified. No yield is wasted.

Output is determined by planetary resource density and logistical throughput. Byproducts are recycled or redirected to support collective infrastructure. Sustained operation requires a constant supply of Drones and Assimilated Civilians. Deficiencies reduce refinement efficiency. Non?functional states halt production.

Artificial intelligence cores optimize precision, distribution, and scaling. Higher?order cores increase efficiency and minimize loss. Resistance is irrelevant. Resources will be refined. Resources will be utilized.",200,LOW
technology_assembler,Technology Assembler,20,90,,1,,,"ai_production, special, industrial, techmining",,graphics/industry/borgAIProduction.png,BORG.data.campaign.industry.TechnologyAssembler,Perfection requires resource allocation … programed machine computing is produced to aide in assimiliation of outside species. ,200,LOW
shipyard,Type - Shipyard,0,480,,15,orbitalworks,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/industry/borgShipyard.png,BORG.data.campaign.industry.CollectiveShipyard,"Centralized manufacturing nodes convert refined materials into heavy industrial equipment, supplies, and armaments for the Collective. Fabrication systems are capable of assembling minimally viable starships for rapid deployment. Installation of a nanoforge increases production quality and structural integrity. All output serves collective expansion.",1600,HIGH
waystation_alpha,Terminus Alpha,25,120,,4,waystation,,"waystation, structure",,graphics/industry/terminusAlpha.png,BORG.data.campaign.industry.TerminusAlpha,"A Borg-controlled distribution nexus for fuel, supplies, and material flow. Incoming assets are stored, reassigned, or assimilated as required. Transit delay is unacceptable.",155,MEDIUM
fleet_defense,Fleet Patrol,80,360,0.01,1,,,"command, unraidable, tactical_bombardment, industry",,graphics/industry/terminusAlpha.png,BORG.data.campaign.industry.AssimilationDispatch,"This node coordinates the defense and expansion of the Collective within this system. Assimilation fleets are generated, deployed, and replaced as required, maintaining continuous orbital control. A primary task force is reinforced to optimal strength, while auxiliary formations enforce compliance and deter interference.

Resources are converted into drones, fuel, and vessels to sustain ongoing operations. Losses are anticipated. Replacement is inevitable. Resistance is irrelevant. The Collective endures.",155,MEDIUM
assimilationNode,Assimilation Node,25,110,,5,,,"industry, urban",,graphics/industry/assimilationNode.png,BORG.data.campaign.industry.AssimilationMatrix,Nearby planets … target for Assimilation. Practical increase of colony accessibility.,1950,
,,,,,,,,,,,,,,
unified_station,Station Type - Unimatrix,125,1450,,5,,,"station, sub_item, unraidable, structure","{
radius:64,
variant:borg_unimatrix,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"A low-tech space station, featuring heavy armor and medium firepower.

Must be reduced before a bombardment can be attempted.",2010,
